Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa,NPofB20
STORM,13,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,72.334,0.967,0.601,0.781,0.477,0.5989873417721518
STORM,13,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,36.409,0.909,0.040,0.516,0.022,0.03998987598076437
STORM,13,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,96.830,0.954,1.000,0.954,0.928,0.9460759493670886
STORM,14,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,75.037,1.000,0.621,0.811,0.528,0.6200707785642062
STORM,14,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,36.229,0.912,0.037,0.515,0.021,0.03636363636363636
STORM,14,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,99.967,1.000,1.000,1.000,0.999,0.9287338893100834
STORM,15,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,88.022,0.870,0.853,0.877,0.756,0.8495440729483282
STORM,15,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,56.892,0.634,0.032,0.509,0.020,0.03186646433990895
STORM,15,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,77.850,0.664,0.998,0.803,0.574,0.9240121580547113
STORM,16,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,89.480,1.000,0.759,0.880,0.780,0.7584504367641474
STORM,16,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,56.826,0.651,0.026,0.508,0.017,0.025796661608497723
STORM,16,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000,0.993161094224924
STORM,17,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,88.642,0.969,0.758,0.870,0.761,0.7571039314908524
STORM,17,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,57.864,0.648,0.022,0.507,0.015,0.02178988326848249
STORM,17,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,98.858,0.974,1.000,0.990,0.977,0.991822429906542
STORM,1,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,62.753,1.000,0.033,1.000,0.040,0.9802631578947368
STORM,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.578,1.000,0.989,0.999,0.991,0.9802631578947368
STORM,1,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000,0.9846491228070176
STORM,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,97.757,1.000,0.950,1.000,0.954,0.9421221864951769
STORM,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.711,1.000,0.994,0.998,0.994,0.9421221864951769
STORM,2,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000,0.9437299035369775
STORM,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,59.776,1.000,0.453,0.999,0.305,0.9543828264758497
