Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,RANDOM_FOREST,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,98.113,0.000,0.000,0.978,-0.008
BOOKKEEPER,2,IBK,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,RANDOM_FOREST,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,90.625,0.000,0.000,0.726,-0.019
BOOKKEEPER,3,IBK,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,RANDOM_FOREST,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,92.857,0.000,0.000,0.889,-0.037
BOOKKEEPER,4,IBK,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,RANDOM_FOREST,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,IBK,BEST_FIRST,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,SENSITIVE_THRESHOLD,98.113,0.000,0.000,0.494,-0.008
BOOKKEEPER,2,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,SENSITIVE_THRESHOLD,96.875,0.000,0.000,0.489,-0.014
BOOKKEEPER,3,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,SENSITIVE_THRESHOLD,92.857,0.000,0.000,0.481,-0.037
BOOKKEEPER,4,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,98.113,0.000,0.000,0.978,-0.008
BOOKKEEPER,2,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,94.792,0.000,0.000,0.695,-0.017
BOOKKEEPER,3,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,NAIVE_BAYES,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,92.857,0.000,0.000,0.889,-0.037
BOOKKEEPER,4,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,IBK,BEST_FIRST,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,40.000,0.250,1.000,1.000,0.118
BOOKKEEPER,1,NAIVE_BAYES,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,IBK,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,98.113,0.000,0.000,0.978,-0.008
BOOKKEEPER,2,IBK,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,86.458,0.071,1.000,1.000,0.116
BOOKKEEPER,3,NAIVE_BAYES,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,81.250,0.053,1.000,0.821,0.082
BOOKKEEPER,3,IBK,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,75.000,0.040,1.000,1.000,0.058
BOOKKEEPER,4,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,85.714,0.200,1.000,1.000,0.291
